device_type,cpu_mhz,ram_kb,power_mw,distance_km,channel_loss_db_km,block_size,error_correction,qber,key_rate_bps,latency_s,phase1_init_s,phase2_qkd_s,phase3_post_processing_s,phase4_privacy_amp_s,phase5_key_management_s
Mid-range,132,431,46,8.837074588741618,0.2829989030355933,4000,BCH,0.0852178980020892,254.9638752674675,3.052514017192757,0.3495082901906882,1.4531160684269495,0.7544210644493636,0.45028883138785714,0.1966574074457635
Low-end,146,204,49,2.020101223695313,0.23551388241356827,1000,BCH,0.04567065534386117,397.2381007099834,4.110961323832364,0.431737344121482,2.7841709709784865,0.7757958503526797,0.3100035552555383,0.17398454782858197
Low-end,157,322,30,1.7174928892179029,1.8544371144679799,2000,BCH,0.01121270827198396,147.30061448702884,4.7577704096100195,0.14779986145925786,1.2122816658145794,0.6331303266594385,0.4389689987690677,0.12708125414019844
Mid-range,150,109,45,5.424516890505697,1.1345710895107117,1000,LDPC,0.06220568754251309,226.60900943418375,2.2792222737814525,0.31067874352701785,1.024466031710566,0.6311950418829128,0.4574773484304668,0.1899967357248897
Low-end,155,342,33,3.6215990506105866,0.6846206387296887,2000,BCH,0.037269922659769944,487.2299058376926,3.719068546484173,0.26207538947438,2.7625476230418293,0.913735325646081,0.3883607320125669,0.14187343744840472
Low-end,87,158,28,8.300759864817246,1.459045858272971,5000,LDPC,0.09368691672415898,174.41600762378977,2.389791254210279,0.3403567607401723,1.854780146709498,0.7474949385777339,0.452140639672427,0.11870068504437012
Mid-range,101,415,45,7.852558063547962,1.9768687088629424,2000,LDPC,0.09304823909339976,187.06144255500345,3.438883641010226,0.18311094259393632,1.4111867025205327,0.685333438288517,0.313474710290085,0.19721414638781584
Low-end,108,479,40,5.187525613192905,1.9948341684692075,4000,BCH,0.03620896314342767,160.8120213891426,3.9261662384846945,0.47751755097186466,2.1450697334959195,0.6643756555709157,0.3631530342738405,0.12961768403086454
Mid-range,85,441,32,4.879650231662241,0.3523114772953958,3000,LDPC,0.09262582864418704,250.3772464670306,2.950080957415202,0.1395033052902569,1.3043005931640257,0.9355777279850821,0.30604052725282127,0.1841140991720118
Low-end,107,200,33,7.890381582119203,1.7479494771934225,4000,BCH,0.035934865098730936,329.0907254725841,3.181606472288021,0.2194802864709458,1.1235227228226643,0.7837812996752832,0.3191197674321688,0.1994231758427914
Mid-range,116,288,37,7.500841468528006,0.4302504049386113,5000,LDPC,0.07933652046554303,336.85608484167017,2.2248387784779498,0.14409440380146862,1.7955693816298228,0.6535213336665169,0.4821549009178526,0.14225566394085018
Low-end,167,200,38,0.29427990131285553,1.3276981310593128,1000,BCH,0.07085466095218951,365.66926321805073,2.5236052133374955,0.3720724489350269,1.5615061665581091,0.9894250462341381,0.39971861190147595,0.10389482867982987
High-end,156,511,19,4.448973407042435,0.226675603465592,5000,LDPC,0.01930281751266681,300.6048940251086,2.231912950293111,0.23013765562474175,2.180443814621187,0.7898736240555453,0.21061079654875384,0.17115132695784652
Low-end,150,499,44,0.7947289844655046,0.743242189273793,3000,BCH,0.06738594687968077,437.50949468706864,4.478517930992579,0.3074348348492329,1.639406994638667,0.9009662344433995,0.20485713962442215,0.13736214860017512
Mid-range,95,71,35,2.8018939558996303,1.9991552609168404,4000,BCH,0.052967452498890656,235.49665004449793,4.249307859982913,0.3575900081231498,1.147876961373843,0.7538918275623463,0.2679910075806152,0.18464503266740592
Mid-range,87,355,46,1.55820802473597,0.4099346472637434,4000,LDPC,0.051712955014148555,167.68330121844338,2.8341796434038984,0.16153786506232015,2.915501243245438,0.7209225644341077,0.3857237151211366,0.11797001614371785
Low-end,137,422,50,1.7071438112345232,1.9824472644179165,2000,LDPC,0.06932858046625592,448.33395918320804,2.4083814300226494,0.11224606322407325,1.445483292589744,0.5299199595964119,0.34241379191224464,0.17992073739720413
Mid-range,84,116,27,4.01476430329843,0.8460883146398666,4000,BCH,0.05041183274134336,111.80106965002778,2.623871456552789,0.38115115656207377,1.7800546094026688,0.718390658152958,0.2913500169601795,0.1564367877960801
High-end,148,472,27,5.581900415699295,1.8097826141262696,4000,BCH,0.08783135670452442,169.9673953709843,2.366648435697082,0.393017409534289,1.233045852073419,0.6065819394337393,0.28618353768097227,0.1868762657666461
Mid-range,82,194,32,9.579564518219787,1.0350177989467628,2000,BCH,0.037245239590873586,391.6582971010692,2.1508833771807443,0.3476033428390407,1.7453846533940633,0.806864340592506,0.22874721913581286,0.1533840069740909
High-end,165,175,11,3.664784287810278,1.534717598606129,1000,BCH,0.028139269775583252,144.95856861402603,2.9601357907594603,0.2846491369583336,1.0022542051457315,0.6098690055501932,0.38211632387742106,0.18539497966483443
Low-end,134,264,28,7.443604206925777,0.7649687855061302,5000,BCH,0.06925172141767745,403.4771105357856,2.087256579769213,0.40175383512961094,2.6912754811515067,0.5397901100930824,0.42584465107425823,0.13708869069508545
Low-end,148,211,46,6.061315824893108,1.2870312408928777,3000,LDPC,0.03795108380541323,246.93879782821088,2.3947197369384114,0.37087841168092817,2.198132582155004,0.9726839060251564,0.3599521092122091,0.1606050909795181
Low-end,81,304,26,5.094979763142565,1.685111013805315,5000,BCH,0.017194116324794673,347.61142296882645,2.2798882963508174,0.4930931675053162,1.529645606102527,0.7825988258682477,0.21176681019408142,0.19443289702965158
Mid-range,84,272,22,5.670417694119313,0.7206996519088418,5000,LDPC,0.09015350028047538,398.5071735651304,3.4867746316111767,0.3571431382507805,1.0193591387362149,0.9498037193545706,0.23913563285021466,0.18963807469804006
High-end,119,434,15,8.130174043381121,1.3560408318031532,4000,LDPC,0.04499987256861228,422.8006361614571,3.3849317359538578,0.3775452050621343,1.1073031741989035,0.9007554533132207,0.46187916913442145,0.17434527341513772
Mid-range,102,239,23,4.561262642483067,1.1489588257838683,1000,LDPC,0.0691362375922529,171.45010301463685,3.748451355506667,0.4642765368851719,2.1032745769257586,0.7122203694128655,0.26120449127008905,0.1100737647979399
High-end,82,416,22,8.392981918433774,0.5184883376411384,1000,BCH,0.06202040741652427,260.9539672454608,2.045246087344806,0.2482707957707879,2.6606838974250024,0.68418286526666,0.3637217821160395,0.11605371059128777
High-end,141,223,35,2.2678757870006194,1.7395944633021374,4000,BCH,0.016739614448866753,335.5059277021319,2.493329608149285,0.4841008342363501,1.6124311354834828,0.8995915076143572,0.3574019641443874,0.12337925489229734
Low-end,167,264,16,7.954156756133615,1.3155059944907994,3000,LDPC,0.08587262431324616,436.68050211958416,4.6373874638401515,0.20700926273264547,1.475469519270229,0.898375710727958,0.3271636507588901,0.11872198159678933
Mid-range,140,188,47,0.7056777397896437,0.5304077061630006,4000,LDPC,0.049697246482604485,109.85464989652742,2.60501144149481,0.3174691431839314,2.3422394585776587,0.8313531408235733,0.4090382426524486,0.11586283808192416
Low-end,134,246,47,0.7762269566847481,0.8225234718782461,2000,BCH,0.034578915446962226,476.5200674197049,4.790040670174477,0.49538385107114313,1.8539675456560176,0.5387826570475424,0.4968272580606867,0.12892321012060126
High-end,140,464,25,7.850168573056611,0.48869733382591196,1000,LDPC,0.057814372436931334,266.62984061377153,2.466689010835342,0.14068577748241592,2.016416698466641,0.5680194371534416,0.2188872932115164,0.1334979861394877
Low-end,87,231,14,2.189320427714893,1.373703987876188,3000,LDPC,0.016690991964910917,410.56765930169917,3.484732427093989,0.21418683762972046,1.0589782982513958,0.726622807137369,0.32560075321748816,0.19305435814938357
Mid-range,80,341,50,1.7590727376191237,0.787260895072184,1000,BCH,0.06277668417889709,364.6007541018417,3.3494579825671633,0.2533932631071743,2.5995448290127126,0.882267040342251,0.25138424959547095,0.17192369291848741
Mid-range,109,490,10,0.3726181049306191,0.5234734257395899,2000,BCH,0.08581021808079282,319.0297569197806,4.835219966602839,0.4365218380915302,1.315922055289911,0.9657907618449373,0.287896465582011,0.1752103345509955
Low-end,86,474,24,4.99280893247603,0.6206254154228955,4000,BCH,0.04997064974429002,378.3176208291811,3.249928654799533,0.25566865677714135,1.8296302187762647,0.9007478272716052,0.20813835883336065,0.1608436030562557
Mid-range,121,180,14,1.325402654872612,1.546274681893588,2000,LDPC,0.08946324219236741,397.29806237834987,4.093205062383665,0.3339794724395038,1.6729623703689,0.5898895934569858,0.23581157416605514,0.14943057743127908
Low-end,81,475,29,7.934397970388125,0.8352967730017429,3000,BCH,0.08676686743288027,129.28370432665088,2.91181658511559,0.2472314267158552,2.168628837008253,0.9054643045403649,0.42114591272879454,0.16802828546185006
High-end,124,441,50,5.217032943600861,1.567683500185175,5000,BCH,0.09212634038552485,104.57005480840161,3.045319205894581,0.27044394660054916,2.816605782820064,0.9281527674495358,0.3250068570855177,0.14155032562894287
Low-end,114,152,40,3.5369057991965533,1.6970124134958386,2000,BCH,0.09955700397440567,368.106362821021,2.5584565109507578,0.10358381292783952,1.6396146576677175,0.6064776195881474,0.39689334257849185,0.16145859973388552
High-end,105,437,36,7.669544073337446,1.974638085153825,2000,BCH,0.05864870350992503,421.0314059070403,4.845622539901865,0.42898587768618046,2.0511970142970815,0.8567751629926816,0.22784812424399226,0.11534260667258626
Low-end,82,367,30,9.6880549809156,0.9842477135187744,4000,LDPC,0.06398711397532428,151.09707908078667,3.072258012663203,0.47075970114519694,2.229313535950377,0.7396067544383684,0.30196230788927836,0.18829258737064308
Mid-range,135,356,20,5.849078933306212,1.7491708093205627,1000,LDPC,0.04729104029550213,466.056614317443,3.190097390275514,0.44684731951251555,1.7049617902339973,0.8532563884560647,0.3887446029462107,0.14237927264508898
Mid-range,154,161,43,1.2059571638653976,1.448015668874563,3000,LDPC,0.06968375818692099,321.88903164935016,2.240888437563628,0.2792851148960277,1.2058411227198667,0.9322121093463687,0.3248134322193127,0.11779925134235086
Low-end,133,288,50,2.738495771284763,1.8715407509983384,4000,BCH,0.035643592232836814,151.05835733156783,3.927375082758732,0.18589605565561032,1.3317205587438101,0.5734907704205684,0.2745708194421146,0.14830345788583413
High-end,147,356,13,3.2753462212156994,0.22203134488703039,3000,LDPC,0.082687635967377,404.84035884336816,2.7504715399760093,0.36351548173694215,1.5760392897583886,0.5747085391684564,0.40957672299963954,0.1139641996156988
Mid-range,124,375,31,9.883386815554879,0.40818471298016024,2000,BCH,0.04735332628235293,210.816219314423,4.564291321317239,0.224820172335436,2.36057885507619,0.8206776305569502,0.4408026562728278,0.1458889238543014
Mid-range,150,493,13,1.2959515070276995,1.1150117356778004,4000,BCH,0.04473795819014102,351.9628592031209,2.550777728406752,0.13342477678731468,2.0799787449606395,0.6389044685666136,0.3092778723067649,0.12493159402256411
Low-end,97,463,47,3.814197657636638,0.9596410388885597,1000,LDPC,0.016632236360941063,177.32383302934932,3.7057672588548067,0.4076682406053578,2.7829340393137336,0.7647801532369465,0.3648398814444527,0.1632179449925178
High-end,149,217,18,9.052200946864177,1.7205287235336453,5000,LDPC,0.015150762479895899,459.38889440538327,4.9955113076393465,0.18706611668526738,2.1903051357607732,0.965508467457664,0.3404526992095216,0.1383198550749345
Mid-range,87,196,20,5.526061682768791,1.6857506828711133,1000,LDPC,0.09844343322021641,283.39705611316623,3.0525156063748127,0.10187830153865125,2.559337206266414,0.8478644562481001,0.31536442697962214,0.1257962736445737
Low-end,94,247,40,7.274733109064401,0.4816017327113247,3000,LDPC,0.044258389002368066,485.275609590151,4.187428987904729,0.4473772929852605,2.507789684990744,0.9448233815239055,0.4832083674191157,0.15829081964822686
Mid-range,93,93,17,4.58546891178624,0.30000017329981116,4000,LDPC,0.07678714475574772,119.01974068085815,2.6106937873862583,0.3098121233154959,1.6170265535299861,0.8063667980730226,0.44560194566680433,0.19148690334956614
Low-end,159,156,13,6.5611824156141365,1.0447829741996952,4000,LDPC,0.07689295681654552,103.12804295596547,3.7511173439852654,0.26426412703397795,1.863854788207326,0.5477914647236339,0.2806303827533701,0.10791846232064597
High-end,112,175,10,4.659465312478196,1.1625077568850457,1000,LDPC,0.08067114197037718,174.9680408990776,4.557163252041488,0.33398264060004257,2.348278765031351,0.7685216004704833,0.4903852200651205,0.17420189162141814
High-end,85,234,35,4.625515939410712,1.328424130925194,1000,BCH,0.03877190577144903,281.70384948947833,3.835225847573691,0.15315495707725876,2.0721200050627187,0.7761409608363234,0.3016079794962166,0.1246178137220874
Mid-range,150,491,38,4.3040947121117,1.5525418898766368,2000,BCH,0.039874150205232585,117.8079691128942,3.7852780681296117,0.3923054364906755,1.7464771481337826,0.7089333892570596,0.4781146496335934,0.12416004168672345
High-end,162,246,23,7.41207020966313,1.6020016239686345,2000,BCH,0.041892833277770415,357.6642058007342,4.790129489761771,0.3120318487369014,1.7931699002748418,0.5043095618120741,0.3416623470320339,0.16053491062950032
Low-end,84,368,48,4.9367580602239585,0.566525713922811,5000,BCH,0.03291150482534627,185.87750840811185,2.967900973313777,0.23235735564963544,1.2555469615234145,0.8013192878478632,0.42200063934341425,0.15249812451342437
Mid-range,148,291,20,6.235303132067233,1.1202210728881385,5000,BCH,0.040572758971509255,133.65138989395282,4.242519384935233,0.37115427339726026,2.1381480972580613,0.5615596654687313,0.3450658572679901,0.12275282697659143
Low-end,122,362,49,1.2952309796260837,1.8074042297221609,1000,BCH,0.09168017036265742,187.2550534780303,4.088478750590013,0.4055617502602239,2.1152652138952037,0.8969880139348803,0.380463151476616,0.16036516354048208
High-end,156,240,40,3.508174992123044,0.2908389083241671,2000,BCH,0.05068307176673314,285.2384113041763,3.4565834635702375,0.4499910255464189,2.8714249431227614,0.5540695893278713,0.43885865020160175,0.15025034170860352
Low-end,133,221,36,0.1596399128167863,1.4212990370903935,2000,LDPC,0.07274331212670385,257.7207811426896,2.605332832822205,0.27911978160368167,1.4056371564395493,0.9084291285537502,0.37345385942866405,0.19009634032651207
High-end,132,291,20,4.411019457991811,0.9540024166135048,4000,LDPC,0.0982264979342733,370.4752579986159,4.634924886949177,0.23040581802539095,2.689567772521846,0.65385797809172,0.49955012091158935,0.12929670223186257
Mid-range,166,147,19,0.48645321949952247,1.8870574541769884,3000,BCH,0.09931022080624637,128.9545043071967,2.7590024274898233,0.12769209350014854,1.9372728530063497,0.7295241435137421,0.49935540942893963,0.1414060602651413
High-end,103,389,15,0.7154067583596228,0.6030817133159267,3000,BCH,0.0575948750339039,401.5765438376753,4.2279560863589625,0.35434632946170586,2.9969894331685563,0.6031580780127509,0.3322960693575997,0.15300578366309958
High-end,80,144,13,4.1300398270823555,1.0446434599551415,5000,LDPC,0.0760552494160736,336.1329652861823,4.456395113410906,0.1309016425249083,2.457039560921636,0.5101496632158569,0.21940091940569123,0.18703355428826962
Low-end,161,206,39,5.780166066032989,0.44440410014306947,4000,BCH,0.09998130899607514,420.21962504760955,2.5068567525945977,0.33538051627081633,1.2692362157044068,0.9298240616681692,0.203944098966839,0.19623536330922967
Mid-range,141,216,24,9.338483190886526,1.8168267182944344,5000,BCH,0.07725516665723246,157.5642104787644,2.2281987605452276,0.17878838697114943,2.788625776952757,0.8910738370583533,0.34973401296091267,0.11323797995412146
High-end,91,341,35,8.161454358327683,0.561216608955208,4000,LDPC,0.03192822364170803,117.20824875559029,3.1614897416334022,0.415045648249423,1.0052551362001243,0.9145977227649588,0.4536925819679407,0.13528014386461393
Mid-range,147,216,21,0.19664271169744213,1.2327521379362267,5000,BCH,0.04589049563700972,277.05949214966864,3.7367418740257534,0.46800517698189514,2.3334239047053247,0.9244844269864694,0.2926991580246898,0.1359270273578957
High-end,85,212,14,2.2781378143189555,1.5035907940288429,4000,LDPC,0.08887074618786216,238.4753110602255,4.660584384927666,0.29741828392422986,1.0381215986472057,0.578031374882052,0.38340717957830506,0.1920699133419496
Mid-range,144,258,11,2.1507787468030526,1.8663411337962785,5000,LDPC,0.030570958056539588,449.5176110484152,4.458075156712285,0.4918942038881725,1.812681627098068,0.6757121184157722,0.3675581969236209,0.17718500302808393
High-end,162,92,49,4.984590517211839,0.2526634896012215,2000,BCH,0.03249148389485492,328.36223368063224,4.284907081801862,0.2749461129311085,2.4643143099141502,0.9412090056973907,0.27757070139051354,0.14269577365414965
Mid-range,117,216,23,1.0694538916564267,0.6245062091496358,1000,LDPC,0.08742228424194701,488.427807661007,4.669668609272529,0.398762705800937,2.7091729384442527,0.5324772444041117,0.3161528488239323,0.13899542616484056
