protocol,device_type,cpu_mhz,ram_kb,power_mw,distance_km,channel_loss_db_km,block_size,error_correction,qber,key_rate_bps,latency_s,phase1_init_s,phase2_qkd_s,phase3_post_processing_s,phase4_privacy_amp_s,phase5_key_management_s
BB84,Mid-range,97,191,34,3.7191705043782166,1.036977305050874,1000,BCH,0.035675240516823845,257.86896671814577,2.6583635565778994,0.14401350491006012,2.627518049692495,0.6410393173915151,0.35265657225133484,0.1987950954873086
BB84,High-end,167,284,40,9.635971778142252,0.45588452889417097,2000,BCH,0.08064507655583888,144.30390519071017,2.830375660155132,0.3853852847577437,1.7837453159218815,0.5609295814168227,0.2831898111593056,0.16063797309063083
ECDH,Mid-range,149,494,45,9.696239217293272,1.1953715457513086,2000,BCH,0.0,0.0,0.19787718847495622,0.22824028495250653,1.0468194168199982,0.7924518325875543,0.2960982880441648,0.11069268344022551
ARC-QKD,High-end,84,491,11,5.4229252608847345,0.38305542262843884,3000,BCH,0.061031889283014895,412.3580513116253,3.923276251079331,0.23298880802686922,1.729007775311175,0.7655066194722322,0.3727880698565561,0.18820685232348358
ARC-QKD,Low-end,82,463,10,9.953080875092153,1.1494180552384867,1000,BCH,0.06682043804855191,374.3849724906179,2.65521022740848,0.29222959126050974,2.6305432946282785,0.6095723851872218,0.3016091289071694,0.1535244733670018
ECDH,Mid-range,148,169,42,0.547288382909783,1.9625594973169636,2000,LDPC,0.0,0.0,0.38060384867987573,0.2316768768601336,1.5282827741893903,0.6014862344630504,0.23672425885299914,0.1360752079697158
ARC-QKD,High-end,161,349,37,7.805218011811063,1.9226367250908882,5000,BCH,0.02209332701125951,303.0673798426475,4.203666675695758,0.2847527254576613,1.301104901952245,0.5130454003204101,0.3125866793177595,0.16051507531287706
ARC-QKD,Low-end,93,147,15,6.629683615759254,1.5425650483954438,5000,BCH,0.09567803945043671,138.70314678615117,4.458900319386377,0.2261328569326654,2.5162302920187445,0.7876080465547732,0.26318806981504095,0.1978212952374799
ARC-QKD,Mid-range,80,376,21,8.912239326673086,0.3799953952842161,3000,LDPC,0.014914973186745978,122.89252133857902,4.047811261668992,0.4870465850300646,2.708195155360072,0.7147960061019452,0.3066996336090821,0.18194698098077403
ARC-QKD,Low-end,134,93,46,4.1698854286246565,1.1397492600336192,5000,LDPC,0.06353383374818218,371.95085850248677,3.8592838327569314,0.17324863098835364,2.73700376765743,0.7773213146099929,0.22034387659454624,0.18396947716327217
ECDH,Low-end,100,167,37,9.026570020504089,0.750247466388231,4000,LDPC,0.0,0.0,0.46251723948298906,0.45579699570787624,2.8206624306774226,0.9774903047257638,0.2859924435718217,0.11294254561314121
ARC-QKD,Mid-range,118,346,40,5.110833156944761,0.21704239060313837,5000,LDPC,0.09676449905403224,125.46646744105239,2.3787811285439715,0.17396421566101877,1.6762861901020811,0.6310239897118299,0.4293085311869253,0.1280574309061298
ARC-QKD,Low-end,117,312,36,8.485178629359229,0.26421965688989474,1000,BCH,0.07358367603697098,168.61492111401995,4.406945254468624,0.34239245733943635,2.6681970155401635,0.9461400789748713,0.26502299758646125,0.1433819447134341
BB84,High-end,166,173,38,6.664538856341366,1.5597499122053762,1000,BCH,0.07706228496041355,215.44581020087924,3.9911327003759616,0.42243702258010607,2.4762364421136245,0.8853044874053567,0.3562469043888994,0.18458752603264492
ECDH,Low-end,146,114,50,5.141035638241999,1.5459424727952462,3000,LDPC,0.0,0.0,0.4707006671956734,0.4028592617042135,2.069686205188259,0.6429685591256964,0.4201753572678686,0.16224328667986654
ARC-QKD,Mid-range,161,164,49,1.2424428162269459,0.5089414212787081,1000,LDPC,0.0722961179811784,282.4612172014761,3.4985837517218075,0.4182431103845581,2.04317511076387,0.6645529918621378,0.45820652947534773,0.18927203144596616
ECDH,High-end,138,271,23,5.7823015664981305,0.61566709545325,1000,BCH,0.0,0.0,0.2977438021277726,0.32879746981009494,2.8166954456198954,0.9747473738051635,0.38672493215799764,0.16786594961204404
ECDH,High-end,143,100,29,7.010521237520843,0.4542674976304076,5000,BCH,0.0,0.0,0.34765119620237883,0.22553614258290958,1.9826757975185865,0.6879381928700552,0.49965975044438476,0.188855630276881
ARC-QKD,High-end,166,197,50,2.5289330641748946,1.966773491936383,5000,LDPC,0.04797991940934306,406.69456798139663,4.892698593898224,0.24796538495238749,2.4038572282616903,0.8658382102501168,0.48516588020629053,0.12194056396858535
ARC-QKD,High-end,106,224,50,4.72621220706013,0.5280024862707916,3000,BCH,0.014570953604274229,176.77890504055682,3.1196022620692196,0.22970420153185428,2.1887498406676227,0.7240694463791879,0.24093556362026913,0.17893202772984934
BB84,High-end,165,417,27,0.8216816165320006,1.545180393361566,5000,LDPC,0.017290254359455644,302.71975003879373,5.907059798032537,0.3276182245556525,1.5755600679863857,0.5614336855182793,0.23017440584366272,0.1669381308106262
ARC-QKD,Mid-range,96,397,28,4.119673294510981,1.9246018554126019,1000,LDPC,0.08204010761513988,153.10809691710037,4.773064066685026,0.4118007056566825,1.5968404288016784,0.7743654569552849,0.23891234941608713,0.14630894352438029
ARC-QKD,Low-end,148,221,14,8.55999028267942,1.610596385419585,3000,BCH,0.045779898835663135,280.94621471583696,4.7854188238097715,0.25298784091623194,1.4757772261266657,0.5562031344504572,0.28687272874440434,0.13060365568776722
ARC-QKD,Mid-range,107,496,29,8.59071355393548,0.6680568406928967,2000,BCH,0.026593424054701553,392.55302579846006,3.554565800933387,0.13845975395790555,2.8952354054086293,0.6129501460190113,0.3096444201333658,0.17306050851269228
BB84,Mid-range,80,87,25,1.9142480222219385,0.7335949810457503,4000,LDPC,0.012679860873054307,397.5567176927089,2.9956546071449393,0.334037378079302,2.1487103329958,0.7605827850660389,0.26225929601306713,0.14152069918151508
ECDH,High-end,88,231,30,8.739489931919323,1.8581744294798714,2000,BCH,0.0,0.0,0.38210597094135923,0.3055846884582696,2.312685164340452,0.8147916630260867,0.3869385502934134,0.19913600527176917
ARC-QKD,Mid-range,146,122,41,4.438436881679634,1.3033433943988086,5000,BCH,0.07915977826171239,186.37458914236117,3.5344827700547063,0.33799080448047125,1.5629947980785495,0.8703884523461991,0.30492305529438146,0.16886016572280013
ARC-QKD,Mid-range,100,378,13,6.047885241063629,1.399201621459008,4000,LDPC,0.05404522893349364,456.272503983216,3.952643999509861,0.39148150374521695,2.862388679891673,0.5008118801785995,0.21708057904750566,0.10359250718383088
ARC-QKD,High-end,105,162,20,0.38208956669987215,0.4239416285877121,3000,BCH,0.09648454780025457,331.5857100045081,3.3163086011177794,0.2780991223949525,2.05483037282365,0.6221905655841109,0.4150106945631935,0.14515366462590176
ECDH,Mid-range,159,407,38,6.464919430156341,1.7616293129862068,2000,LDPC,0.0,0.0,0.4421580416011527,0.3807636459994258,2.0237288259156987,0.7079052488376917,0.3430642590455304,0.12000882743734989
ECDH,Low-end,111,291,37,9.225478983050813,1.4259448744046828,1000,BCH,0.0,0.0,0.28619535933901724,0.45969292067135004,2.901208459451576,0.9627300905760414,0.37958987341870276,0.1259887953479251
ECDH,High-end,111,406,27,9.086109818006056,1.9227677641087388,2000,LDPC,0.0,0.0,0.18772917779382273,0.10419791967308717,1.7500792329381074,0.6277359030407339,0.37296384389953363,0.18053078137596293
ARC-QKD,Mid-range,135,274,49,4.604528614149675,1.6346948235622576,4000,LDPC,0.09441188339197822,109.3024399109642,2.8289622090100623,0.13470032071966975,1.9785333773122329,0.6694798617775635,0.46588683540945147,0.1987152603865472
ECDH,High-end,164,104,47,9.816434141267981,1.6875304192502192,1000,BCH,0.0,0.0,0.10133886946605807,0.4208869345425085,2.963554650959244,0.868461620243295,0.46056088846387516,0.17181458451489434
ARC-QKD,Mid-range,123,352,44,9.436168031526101,0.41643246769924697,2000,LDPC,0.08374682997878645,103.65657650323934,2.6998500007745108,0.40917466834326666,2.2338411631838655,0.8181358463976662,0.3214088110294391,0.1823360599893526
